ensembl_gene_id	IDR_30C_1_pellet_262	IDR_30C_1_SN_244	IDR_30C_1_total_226	IDR_30C_2_pellet_263	IDR_30C_2_SN_245	IDR_30C_2_total_227	IDR_40C_1_pellet_264	IDR_40C_1_SN_246	IDR_40C_1_total_228	IDR_40C_2_pellet_265	IDR_40C_2_SN_247	IDR_40C_2_total_229	IDR_42C_1_pellet_266	IDR_42C_1_SN_248	IDR_42C_1_total_230	IDR_42C_2_pellet_267	IDR_42C_2_SN_249	IDR_42C_2_total_231	WT_30C_1_pellet_250	WT_30C_1_SN_232	WT_30C_1_total_214	WT_30C_2_pellet_251	WT_30C_2_SN_233	WT_30C_2_total_215	WT_40C_1_pellet_252	WT_40C_1_SN_234	WT_40C_1_total_216	WT_40C_2_pellet_253	WT_40C_2_SN_235	WT_40C_2_total_217	WT_42C_1_pellet_254	WT_42C_1_SN_236	WT_42C_1_total_218	WT_42C_2_pellet_255	WT_42C_2_SN_237	WT_42C_2_total_219
Q0010	33	11	9	17	5	10	52	17	50	65	23	44	28	5	9	8	9	22	15	2	5	13	6	2	25	14	25	42	15	35	18	13	14	15	2	12
Q0017	2	1	2	3	2	1	4	3	6	5	0	4	3	3	0	0	1	2	1	0	2	2	0	0	4	1	4	5	0	4	0	1	0	2	0	2
Q0032	36	9	23	21	17	13	75	26	74	55	31	72	24	5	24	9	8	17	19	14	7	10	11	12	58	29	28	49	16	54	14	11	9	12	1	20
Q0045	18939	8102	11121	16109	7192	10251	31016	7284	13557	28484	8912	15177	23147	5889	10197	19505	4129	8956	15018	5352	8667	16643	5556	12179	20872	6532	11564	22571	6141	14519	17683	4799	14097	19138	1287	15596
Q0050	129821	40355	76918	94692	41988	61726	87013	25582	59131	70448	30714	61092	34484	6640	24211	48991	13407	20163	74039	52017	12980	71833	43592	59837	53159	24682	36463	36151	22559	45922	28415	10252	24998	25707	528	23852
Q0055	148678	40449	69941	116544	41897	64704	132536	29397	58211	124917	32342	62291	62791	15049	26536	60793	13764	23059	88020	41835	52478	84676	38276	66777	77328	27076	40840	71896	24141	49929	42446	12609	28483	43092	1518	31964
Q0060	6490	2126	2751	5222	1856	2250	7949	1496	3116	6901	1646	3233	3971	618	1204	4297	645	1239	5653	1782	1747	5587	1503	3351	5180	1413	2543	4289	1386	3167	3405	851	2339	3767	54	2585
Q0065	7545	2521	3396	5884	2274	2843	10559	1979	4160	8758	2139	4186	6603	929	2238	7001	1033	2079	6764	2122	1640	6682	2025	4212	7129	1869	3518	6506	1823	4435	6104	1307	4232	6622	62	4571
Q0070	712	202	318	571	217	208	1152	226	591	951	298	564	693	79	251	667	124	239	690	212	99	598	182	294	853	237	353	741	246	533	582	148	411	655	6	469
Q0075	3912	1188	1596	2971	1139	1337	5840	1154	2741	5283	1251	2827	4108	564	1287	3730	520	1252	3263	1146	1032	3134	996	1662	4253	1179	1697	4482	1030	2317	3792	704	2170	3984	50	2364
Q0080	16	5	8	14	0	10	14	5	11	23	4	11	17	4	11	11	3	5	3	8	2	12	6	2	11	4	6	10	4	7	8	5	6	9	1	8
Q0085	5120	2646	3812	4124	2299	3141	11221	2171	5617	9788	2336	5590	8439	1199	3115	5276	989	2482	4070	1672	2543	3795	1767	3894	5772	1836	3053	5371	1495	4101	4068	1359	4493	4742	82	4101
Q0092	9	1	1	9	0	2	11	4	5	9	3	6	6	3	1	1	3	1	1	1	1	5	0	1	11	8	1	5	5	3	1	4	2	4	1	2
Q0105	9684	6343	8509	8397	4962	7916	13398	5310	8443	11902	7014	10329	10105	5389	7499	5890	2722	5890	7897	4482	8497	8900	4571	9628	10437	5413	7752	10265	4993	9756	8323	4854	11934	9455	1836	11437
Q0110	2007	715	1037	1504	646	908	2998	757	1653	2559	842	1656	1688	230	686	1468	213	619	1892	688	483	1783	568	1044	2412	819	1229	2104	716	1593	1731	320	1339	1844	15	1265
Q0115	372	123	179	284	120	116	689	168	424	530	193	395	266	38	130	248	61	94	328	136	68	331	155	208	487	181	224	420	166	320	267	48	225	301	7	168
Q0120	3067	1161	1706	2411	1000	1397	5044	1235	2555	4065	1450	2608	2188	537	1066	2044	440	853	3036	1071	1191	2958	1069	2056	3449	1309	2028	2766	1189	2591	2182	752	2164	2422	76	2069
Q0130	3887	6194	5972	3137	4350	5866	4399	2597	4479	3762	3878	5584	4903	2717	3950	2584	1087	2832	2766	4231	3499	3046	4530	6199	3515	3428	3735	4286	2808	4741	4449	2346	6873	5273	233	5491
Q0140	519	316	606	404	328	455	710	338	785	798	318	995	847	46	189	295	154	319	343	347	30	315	316	137	505	439	360	609	335	534	448	170	617	518	5	478
Q0142	78	18	41	66	24	35	201	73	183	199	85	161	78	20	57	70	26	35	43	11	9	33	8	24	130	95	115	140	71	141	47	23	34	48	0	46
Q0143	58	24	48	77	22	35	187	82	132	192	85	179	80	17	31	52	35	38	26	16	5	37	16	17	120	93	90	124	82	156	47	24	44	37	0	43
Q0144	13	5	9	8	0	0	14	8	16	16	7	15	10	4	5	6	1	7	5	3	0	3	3	2	12	3	5	11	5	10	8	5	2	3	0	5
Q0160	8242	5725	7344	6007	4765	5955	5651	1286	2840	4731	1550	3173	4043	445	1349	4703	595	1459	5132	4789	2605	5545	4469	6076	4985	1360	2299	4419	1160	2964	5327	755	3362	5621	68	3625
Q0182	135	97	102	120	59	126	113	54	132	108	56	109	70	20	46	42	27	49	101	53	130	95	34	94	85	69	58	96	57	84	30	34	76	47	1	40
Q0250	4945	4101	4324	4460	2766	4717	18972	5026	7891	17073	6082	10555	13825	2828	5827	9875	1665	4211	3720	2252	5017	4376	2179	5042	12105	4555	6606	13357	4005	8569	7345	1655	7740	8279	551	6491
Q0255	1227	609	882	993	564	816	3415	926	2165	3107	970	2266	1825	360	815	1680	298	684	789	427	757	744	362	703	2121	813	1054	2175	769	1458	1035	323	872	1106	29	756
Q0275	11662	7872	9239	9697	5666	9675	17035	7457	11559	15186	10207	14499	9277	6570	8899	5166	2521	6881	7363	4648	6870	8132	4631	9632	11080	7238	9972	11547	6303	12483	6194	4970	12002	7277	997	10874
Q0297	388	283	396	481	246	398	379	185	444	288	216	528	374	151	299	100	56	224	295	283	383	267	220	362	273	201	211	348	162	299	222	163	420	291	44	412
YAL001C	1825	892	1248	1795	1028	1306	3171	792	1659	3011	850	1528	3108	358	1028	4363	468	1033	1641	1507	1253	1698	1239	1671	2578	832	1303	2876	690	1442	2766	392	1176	2514	117	1345
YAL002W	1549	426	535	1217	513	549	1291	188	359	1255	219	328	1325	121	323	2000	155	352	982	547	585	1092	470	751	904	139	307	986	166	448	1568	140	527	1399	95	511
YAL003W	5312	5375	7487	4566	7885	7598	10273	3095	6397	9181	3579	6824	7173	4383	7283	7985	4471	5727	3963	5743	8065	4236	5876	11169	9145	3119	8072	9258	3964	8499	10416	4241	12258	10333	3448	9473
YAL004W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL005C	5635	4646	6134	5980	6148	6998	39063	49955	61579	39538	47266	60793	31551	38436	43600	36255	41122	40201	4488	6515	7931	4781	7570	7631	33691	54883	53755	38007	54262	64321	33742	42411	43264	34575	29123	48516
YAL007C	320	340	376	325	393	394	427	286	513	369	366	531	384	317	487	383	273	367	328	515	410	337	494	543	324	353	395	394	416	482	423	370	699	394	327	544
YAL008W	81	190	209	50	250	187	210	637	807	182	649	805	182	359	413	261	359	349	52	236	106	63	247	186	178	632	565	174	620	649	179	287	388	194	130	310
YAL009W	492	317	497	461	397	488	422	142	236	422	124	318	486	99	193	437	107	188	295	299	384	304	285	440	295	140	179	361	112	218	416	66	193	450	42	217
YAL010C	281	179	228	257	193	230	494	251	392	434	283	419	396	143	220	540	176	218	202	212	176	246	188	252	391	261	296	467	244	401	398	118	254	404	49	262
YAL011W	629	378	374	580	413	469	584	181	368	485	214	297	603	94	157	826	160	151	428	248	302	513	223	389	453	108	199	524	106	282	562	53	160	559	29	185
YAL012W	1423	1102	1495	1277	1616	1829	1325	1138	1745	1333	1124	1492	1059	1114	912	1214	1167	1211	1096	431	2443	1110	445	2456	1073	361	1599	1224	383	2424	971	349	1626	953	320	1359
YAL013W	317	332	522	334	517	496	349	242	491	372	274	422	470	271	330	582	326	360	211	197	512	231	257	651	299	140	322	372	183	439	355	192	331	406	146	370
YAL014C	579	564	724	537	758	773	744	642	824	787	650	902	805	779	763	570	616	676	352	350	736	417	421	692	494	430	610	673	498	708	714	425	589	672	236	723
YAL015C	503	517	733	493	720	907	813	629	934	850	677	861	729	577	615	667	567	683	386	590	663	367	569	689	542	577	518	621	521	607	572	438	503	594	253	575
